"Fast Order","Fast Order"
"Search","Search"
"Photo","Photo"
"Product","Product"
"Qty","Qty"
"Total Price","Total Price"
"Edit","Edit"
"Action","Action"
"OK","OK"
"Reset","Reset"
"Subtotal:","Subtotal:"
"Download Sample Csv","Download Sample Csv"
"Import CSV","Import CSV"
"Add lines","Add lines"
"The SKU you entered was not found.","Photo"
"%s was added to your shopping cart.","%s was added to your shopping cart."
"%s were added to your shopping cart.","%s were added to your shopping cart."
"Items added to cart successfully.","Items added to cart successfully."
"Please insert at least 1 products","Please insert at least 1 products"
"Enter product name or SKU","Enter product name or SKU"
"The file&#039;s format is not correct. Please download sample csv file and try again","The file&#039;s format is not correct. Please download sample csv file and try agains"
"Not Items Import.","Not Items Import."
"Some products are not imported as SKUs do not match or the product (s) do not exist on the site.","Some products are not imported as SKUs do not match or the product (s) do not exist on the site."
"Import Success.","Import Success."
"Select","Select"
"Close","Close"
